date,home_team,away_team,home_score,away_score,competition,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot
2022-12-05,Japan,Croatia,1,1,FIFA World Cup 2022,4.203,3.9884,17,21.0,8,7.0
2022-12-06,Morocco,Spain,0,0,FIFA World Cup 2022,3.7044,2.8455,10,15.0,6,3.0
2022-12-06,Portugal,Switzerland,6,1,FIFA World Cup 2022,2.2843,1.2718,15,10.0,9,3.0
2022-12-09,Netherlands,Argentina,2,2,FIFA World Cup 2022,4.487,5.8567,12,19.0,7,9.0
2022-12-09,Croatia,Brazil,1,1,FIFA World Cup 2022,3.7669,4.9503,13,24.0,5,14.0
2022-12-10,Morocco,Portugal,1,0,FIFA World Cup 2022,0.972,0.7441,9,12.0,3,3.0
2022-12-10,England,France,1,2,FIFA World Cup 2022,2.3526,0.8394,16,8.0,7,5.0
2022-12-13,Argentina,Croatia,3,0,FIFA World Cup 2022,1.8644,0.4101,9,12.0,7,2.0
2022-12-14,France,Morocco,2,0,FIFA World Cup 2022,2.0024,1.2304,14,13.0,2,2.0
2022-12-17,Croatia,Morocco,2,1,FIFA World Cup 2022,0.8493,0.9915,12,9.0,4,2.0
2022-12-18,Argentina,France,3,3,FIFA World Cup 2022,5.8923,5.4066,24,14.0,14,8.0
2024-06-14,Germany,Scotland,5,1,UEFA Euro 2024,1.8446,0.0605,20,1.0,10,0.0
2024-06-15,Spain,Croatia,3,0,UEFA Euro 2024,1.5672,2.4821,11,16.0,5,5.0
2024-06-15,Italy,Albania,2,1,UEFA Euro 2024,1.4498,0.3546,17,8.0,5,2.0
2024-06-15,Hungary,Switzerland,1,3,UEFA Euro 2024,1.1028,2.0958,6,15.0,2,7.0
2024-06-16,Poland,Netherlands,1,2,UEFA Euro 2024,0.9092,1.3128,12,21.0,7,4.0
2024-06-16,Serbia,England,0,1,UEFA Euro 2024,0.2494,0.5588,6,5.0,1,3.0
2024-06-16,Slovenia,Denmark,1,1,UEFA Euro 2024,0.9664,1.5112,11,16.0,2,4.0
2024-06-17,Belgium,Slovakia,0,1,UEFA Euro 2024,1.7503,0.7111,16,10.0,5,4.0
2024-06-17,Austria,France,0,1,UEFA Euro 2024,0.7483,1.9045,5,14.0,3,3.0
2024-06-17,Romania,Ukraine,3,0,UEFA Euro 2024,1.1211,0.5435,10,13.0,5,2.0
2024-06-18,Portugal,Czech Republic,2,1,UEFA Euro 2024,1.8375,0.3148,19,5.0,8,1.0
2024-06-18,Turkey,Georgia,3,1,UEFA Euro 2024,2.4034,1.5786,22,14.0,7,4.0
2024-06-19,Scotland,Switzerland,1,1,UEFA Euro 2024,0.7719,0.9902,12,11.0,3,5.0
2024-06-19,Germany,Hungary,2,0,UEFA Euro 2024,1.4837,1.228,19,11.0,7,2.0
2024-06-19,Croatia,Albania,2,2,UEFA Euro 2024,1.8586,1.3259,21,14.0,8,7.0
2024-06-20,Slovenia,Serbia,1,1,UEFA Euro 2024,1.5522,1.4613,12,15.0,4,4.0
2024-06-20,Spain,Italy,1,0,UEFA Euro 2024,1.5339,0.1434,20,4.0,8,1.0
2024-06-20,Denmark,England,1,1,UEFA Euro 2024,0.7333,1.1727,16,12.0,7,4.0
2024-06-21,Netherlands,France,0,0,UEFA Euro 2024,0.7382,1.2184,9,15.0,4,3.0
2024-06-21,Argentina,Canada,2,0,Copa America 2024,3.5383,0.9773,19,10.0,8,2.0
2024-06-21,Slovakia,Ukraine,1,2,UEFA Euro 2024,0.7461,1.7317,14,13.0,5,5.0
2024-06-21,Poland,Austria,1,3,UEFA Euro 2024,1.4381,1.8217,15,15.0,3,9.0
2024-06-22,Belgium,Romania,2,0,UEFA Euro 2024,1.6458,1.246,20,14.0,9,4.0
2024-06-22,Georgia,Czech Republic,1,1,UEFA Euro 2024,1.1799,2.8655,5,27.0,1,11.0
2024-06-22,Turkey,Portugal,0,3,UEFA Euro 2024,0.779,1.9012,11,12.0,3,3.0
2024-06-22,Peru,Chile,0,0,Copa America 2024,0.6773,1.0248,7,11.0,4,1.0
